,anio,eleccion,partido,pais,puesto,votos,censo
362,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,INGLATERRA,LondresConsulado,16,7055
363,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,KENIA,NairobiEmbajada,3,45
364,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,MEXICO,MexicoConsulado,6,2522
365,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,NICARAGUA,ManaguaEmbajada,5,182
366,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,PAISESBAJOSARUBA,OranjestadConsulado,2,2517
367,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,PANAMA,PanamaConsulado,15,6832
368,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,PUERTORICO,Mayaguez,1,102
369,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,REPUBLICADOMINICANA,SantoDomingoEmbajada,1,1558
370,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,RUSIA,MoscuEmbajada,5,197
371,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,SUIZA,BernaConsulado,5,1054
372,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,URUGUAY,MontevideoConsulado,1,290
373,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,VENEZUELA,CaracasConsulado,17,28288
374,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,ARGENTINA,BuenosAiresConsulado,4,2859
375,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,AUSTRALIA,Brisbane,2,491
376,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,COSTARICA,SanJoseEmbajada,2,6350
377,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,ECUADOR,QuitoConsulado,29,4302
378,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,ESPANA,BilbaoConsulado,6,3846
379,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,ESTADOSUNIDOS,AtlantaConsulado,22,5907
380,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,FRANCIA,ParisConsulado,2,3576
381,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,PAISESBAJOSARUBA,OranjestadConsulado,3,2517
382,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,SUIZA,Ginebra,1,635
383,2010,CmaraTerritorial,MOVIMIENTOAPERTURALIBERAL,VENEZUELA,CaracasConsulado,15,28288
384,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ARGENTINA,BuenosAiresConsulado,1,2859
385,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,AUSTRALIA,Melbourne,2,805
386,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,BELGICA,BruselasConsulado,1,1004
387,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,CANADA,TorontoConsulado,1,3376
388,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ECUADOR,StoDomingoColoradosConsu,2,2785
389,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ESPANA,MadridConsulado,2,11707
390,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ESTADOSUNIDOS,ChicagoConsulado,5,1954
391,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,FRANCIA,ParisConsulado,1,3576
392,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,INGLATERRA,LondresConsulado,1,7055
393,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,ITALIA,Milan,2,1715
394,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,PANAMA,PanamaConsulado,1,6832
395,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,SUIZA,BernaConsulado,3,1054
396,2010,CmaraTerritorial,MOVIMIENTODEAUTORIDADESINDIGENASDECOLOMBIAAICO,VENEZUELA,CaracasConsulado,255,28288
397,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,ALEMANIA,BerlinEmbajada,15,608
398,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,ARGENTINA,BuenosAiresConsulado,51,2859
399,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,AUSTRALIA,Brisbane,6,491
400,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,AUSTRIA,VienaConsulado,1,398
401,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,BELGICA,BruselasConsulado,2,1004
402,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,CANADA,MontrealConsulado,114,3397
403,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,CHILE,SantiagoConsulado,13,2163
404,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,CHINAREPUBLICAPOPULAR,HongKongConsulado,1,103
405,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,COREADELSUR,SeulEmbajada,2,67
406,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,COSTARICA,SanJoseEmbajada,157,6350
407,2010,CmaraTerritorial,MOVIMIENTOINDEPENDIENTEDERENOVACIONABSOLUTAMIRA,CUBA,LaHabanaConsulado,2,230
