anio,elec,partido,nomcandi,nomdepto,votos,censo
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CAQUETA,3718,128047
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CASANARE,1458,112088
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CAUCA,28048,265829
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CESAR,8018,235745
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CHOCO,4681,99267
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CONSULADOS,1737,95030
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CORDOBA,17322,281242
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CUNDINAMARCA,57988,763215
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,GUAINIA,199,18042
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,GUAVIARE,1379,20522
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,HUILA,18980,256389
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,LAGUAJIRA,9112,132627
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,MAGDALENA,11294,210242
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,META,9384,165739
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,NARINO,46435,330115
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,NORTEDESANTANDER,27753,227884
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,PUTUMAYO,5202,107826
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,QUINDIO,13953,76812
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,RISARALDA,30789,110026
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,SANTANDER,40467,405174
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,SUCRE,6440,213560
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,TOLIMA,25122,316808
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,VALLEDELCAUCA,108712,300228
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,VAUPES,312,12406
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,VICHADA,388,25392
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,AMAZONAS,1408,14390
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,ANTIOQUIA,82792,992439
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,ARAUCA,1349,48663
